_blk,community_short,n_cells,y,x,cx,cy,rung,block_m
12000025,inland,1399,53.565536,23.396303,9011269.610570852,4364678.039458571,1000 m,1000.0
13000005,inland,1070,52.784794,14.782376,9012078.526750647,4344667.851744756,1000 m,1000.0
13000006,aeolian,1540,46.58442,13.435992,9012237.55241338,4345740.450076507,1000 m,1000.0
13000007,aeolian,570,51.66344,26.681704,9012075.63709412,4346481.8588083405,1000 m,1000.0
13000007,riverine,861,54.859634,9.255019,9012303.552646717,4346857.586014247,1000 m,1000.0
13000008,riverine,1402,51.303577,12.57795,9012192.499160726,4347695.186421713,1000 m,1000.0
13000009,aeolian,572,42.013054,9.39061,9011982.300646339,4348680.398542495,1000 m,1000.0
13000009,riverine,1014,43.851913,15.483234,9012362.378616175,4348750.668557046,1000 m,1000.0
13000010,riverine,596,50.70516,14.813039,9012347.16575235,4349451.196331324,1000 m,1000.0
13000013,inland,907,65.362816,32.997322,9012231.650385788,4352934.032610825,1000 m,1000.0
13000014,inland,1170,69.41676,41.55067,9012212.456864424,4353587.356934432,1000 m,1000.0
13000018,inland,749,65.8838,41.831013,9012233.769140463,4357977.361307447,1000 m,1000.0
13000019,inland,1503,68.61305,47.70269,9012224.193618828,4358686.6028525615,1000 m,1000.0
13000020,inland,1640,69.33906,38.69164,9012224.45112991,4359722.146282218,1000 m,1000.0
13000021,inland,1335,67.480835,37.782772,9012300.587066911,4360720.171420797,1000 m,1000.0
13000022,inland,1160,72.5687,40.85468,9012353.801423373,4361711.932224415,1000 m,1000.0
13000023,inland,518,60.455055,31.98566,9012328.429639712,4362654.369181775,1000 m,1000.0
13000024,inland,581,49.82548,20.467175,9012048.434378449,4363767.888413513,1000 m,1000.0
13000025,inland,956,56.482525,22.352062,9012095.44678508,4364859.465489116,1000 m,1000.0
14000003,aeolian,541,57.980152,8.001056,9013532.48238687,4342819.998035528,1000 m,1000.0
14000004,aeolian,1245,50.83649,4.43603,9013311.640553523,4343794.344384395,1000 m,1000.0
14000005,aeolian,1600,42.95576,1.7464285,9013223.261849951,4344727.50034757,1000 m,1000.0
14000006,aeolian,1600,47.601093,3.3553572,9013223.261849951,4345726.311067613,1000 m,1000.0
14000007,aeolian,710,58.703697,2.5714288,9013196.357265415,4346467.259808806,1000 m,1000.0
14000007,riverine,505,57.263535,5.957567,9013221.654852506,4346821.022450603,1000 m,1000.0
14000008,riverine,1409,44.51292,5.0998683,9013221.852952644,4347747.103994861,1000 m,1000.0
14000009,riverine,1600,46.6434,8.758929,9013223.261849951,4348722.743227743,1000 m,1000.0
14000010,riverine,1488,51.801014,19.320276,9013217.724088904,4349687.001675061,1000 m,1000.0
14000013,inland,1209,70.46603,36.459885,9013274.038858952,4352827.8532217555,1000 m,1000.0
14000014,inland,989,73.250786,39.647552,9013206.105836699,4353530.731721757,1000 m,1000.0
14000018,inland,850,62.982727,38.873947,9013236.510780385,4357945.526402335,1000 m,1000.0
14000019,inland,1504,68.80452,42.602585,9013223.261849951,4358693.3181123445,1000 m,1000.0
14000020,inland,1640,71.88879,33.46167,9013223.261849951,4359722.146282218,1000 m,1000.0
14000021,inland,1600,66.00559,36.532143,9013223.261849951,4360733.442136263,1000 m,1000.0
14000022,inland,1427,71.16393,40.51857,9013199.73520291,4361681.253664933,1000 m,1000.0
14000024,inland,1301,62.40972,30.46887,9013240.027052948,4363730.977901627,1000 m,1000.0
15000003,aeolian,1041,55.67615,6.194593,9014076.124831617,4342704.225015431,1000 m,1000.0
15000003,riverine,529,40.21522,5.622468,9014526.695678776,4342807.409465501,1000 m,1000.0
15000004,aeolian,659,25.571356,3.8283114,9013960.453123238,4343624.470018821,1000 m,1000.0
15000004,riverine,596,20.700607,4.194631,9014388.904125666,4343657.172433771,1000 m,1000.0
15000005,inland,1014,75.73061,57.402084,9014375.90813627,4344732.179194631,1000 m,1000.0
15000006,inland,528,63.899982,43.28463,9014333.20917947,4345511.793765239,1000 m,1000.0
15000007,inland,871,56.803696,7.2330656,9014272.600810353,4346943.934153349,1000 m,1000.0
15000007,riverine,583,51.81635,6.733644,9014146.369398996,4346498.354919849,1000 m,1000.0
15000008,riverine,819,41.56177,4.563056,9014161.842088386,4347930.264972531,1000 m,1000.0
15000009,riverine,1600,35.381947,6.9660716,9014222.072569994,4348722.743227743,1000 m,1000.0
15000010,riverine,1265,36.617416,10.491248,9014204.159116864,4349619.07715227,1000 m,1000.0
15000013,inland,1600,73.168594,40.89107,9014222.072569994,4352717.986107916,1000 m,1000.0
15000014,inland,1133,56.652206,22.642794,9014295.539814815,4353641.698691848,1000 m,1000.0
15000015,inland,728,39.008415,3.4105182,9014487.004369501,4354678.289345276,1000 m,1000.0
15000018,inland,985,62.452442,41.151558,9014233.822538745,4357903.448853861,1000 m,1000.0
15000019,inland,1504,67.60871,41.164513,9014222.072569994,4358699.69349992,1000 m,1000.0
15000020,inland,1640,69.26359,34.90418,9014222.072569994,4359722.146282218,1000 m,1000.0
15000021,inland,1600,66.08223,36.985714,9014222.072569994,4360733.442136263,1000 m,1000.0
15000022,inland,1231,71.096565,39.06464,9014257.35752628,4361630.06948908,1000 m,1000.0
15000024,inland,626,47.922127,22.770426,9014151.709067192,4363912.364673558,1000 m,1000.0
15000024,riverine,965,47.69902,14.022206,9014271.17213842,4363610.935605339,1000 m,1000.0
15000025,inland,954,55.998642,24.68703,9014205.268678948,4364608.702093462,1000 m,1000.0
16000003,riverine,1533,54.466927,7.4755383,9015202.566873621,4342745.99637662,1000 m,1000.0
16000004,riverine,1144,45.580246,10.417083,9015221.407141814,4343613.682335483,1000 m,1000.0
16000005,riverine,743,55.248623,3.9338589,9015342.928415537,4344880.565065754,1000 m,1000.0
16000006,riverine,1539,47.76164,2.7494664,9015204.828657037,4345710.094184658,1000 m,1000.0
16000007,inland,1436,47.883804,6.1002784,9015247.470713278,4346772.3322873935,1000 m,1000.0
16000008,inland,641,56.86854,11.366169,9015254.404219234,4347429.645628426,1000 m,1000.0
16000008,riverine,754,45.633507,5.63471,9015251.284756914,4347880.940519096,1000 m,1000.0
16000009,riverine,1422,40.552048,6.5099454,9015189.591435201,4348767.433334678,1000 m,1000.0
16000010,riverine,1135,47.884056,13.397104,9015211.28018697,4349577.353400109,1000 m,1000.0
16000012,inland,1098,77.68861,48.797813,9015295.930543594,4351852.53208328,1000 m,1000.0
16000013,inland,1557,76.42099,45.191303,9015209.633037627,4352705.998134036,1000 m,1000.0
16000014,inland,1137,45.83379,5.1237593,9015197.461310422,4353825.561341833,1000 m,1000.0
16000015,inland,1423,39.897415,9.109528,9015242.756402522,4354751.887259241,1000 m,1000.0
16000016,inland,1600,53.15494,13.205358,9015220.883290038,4355714.418268045,1000 m,1000.0
16000017,inland,989,58.885845,16.007511,9015261.772419488,4356565.843811692,1000 m,1000.0
16000018,inland,1126,65.607346,35.71936,9015231.062111542,4357859.510651478,1000 m,1000.0
16000019,inland,1504,68.35964,41.610943,9015220.88329004,4358706.0688874945,1000 m,1000.0
16000020,inland,1640,65.99738,36.498257,9015220.88329004,4359722.146282218,1000 m,1000.0
16000021,inland,1404,66.28793,38.068783,9015172.436701695,4360688.908267976,1000 m,1000.0
16000022,aeolian,679,44.59124,1.02672,9015499.693432674,4361790.081643392,1000 m,1000.0
16000022,inland,702,73.7917,41.07041,9014949.518368984,4361674.771441649,1000 m,1000.0
16000023,aeolian,683,47.492455,3.9447813,9015394.157938927,4362584.843097769,1000 m,1000.0
16000024,inland,953,51.89011,30.26233,9015307.414570283,4363713.956733108,1000 m,1000.0
16000024,riverine,591,46.92703,24.399323,9015106.911550727,4363712.319057214,1000 m,1000.0
17000003,aeolian,968,37.703514,0.026564347,9016068.350453923,4342719.612206384,1000 m,1000.0
17000004,aeolian,935,45.198,0.44308633,9016187.579841876,4343711.07690908,1000 m,1000.0
17000005,inland,880,55.89423,1.8474027,9016329.165935023,4344855.6999735115,1000 m,1000.0
17000006,inland,1435,55.146027,3.9621704,9016252.155358482,4345751.777260797,1000 m,1000.0
17000007,inland,1600,46.79226,4.3875,9016219.69401008,4346725.121787656,1000 m,1000.0
17000008,inland,992,45.226128,7.065092,9016130.259169146,4347608.7974211695,1000 m,1000.0
17000009,riverine,900,49.058395,8.431746,9016163.788354501,4348636.096397779,1000 m,1000.0
17000011,inland,526,73.308136,48.147747,9016385.323791556,4351001.303918838,1000 m,1000.0
17000012,inland,1597,78.352455,37.727882,9016218.794955347,4351718.276333138,1000 m,1000.0
17000013,inland,586,62.45011,26.928328,9016038.42520449,4352473.950741291,1000 m,1000.0
17000014,inland,1127,46.193283,7.3013053,9016229.34312429,4353859.960436379,1000 m,1000.0
17000015,inland,1600,40.181797,6.253571,9016219.69401008,4354715.607548002,1000 m,1000.0
17000016,inland,1600,46.260292,8.375,9016219.69401008,4355714.418268045,1000 m,1000.0
17000017,inland,966,66.91529,13.519669,9016205.089246707,4356516.155154507,1000 m,1000.0
17000018,inland,1263,62.18564,30.544058,9016228.679747853,4357816.814003675,1000 m,1000.0
17000019,inland,1502,65.71212,36.018642,9016219.444639895,4358712.546145443,1000 m,1000.0
