zone_fid,zone_name,treat,year,n,ctv,wat,ns
45,Mara 21,14-day grazing,2015,9472,28.927364864864863,0.0,1.097972972972973
46,Mara 20,14-day grazing,2015,1667,69.76604679064187,0.0,0.0
47,Mara 22,14-day grazing,2015,4441,21.256473767169556,0.0,1.4411168655708173
48,Mara 4,14-day grazing,2015,2355,4.968152866242039,0.0,1.0615711252653928
49,Mara 5a,14-day grazing,2015,2057,10.014584346135148,0.04861448711716091,0.2916869227029655
50,Mara 22a,14-day grazing,2015,1103,0.0,0.0,0.45330915684496825
51,Dinan 3,14-day grazing,2015,8661,27.779702112919985,0.0,13.72820690451449
52,Dinan 2,14-day grazing,2015,14133,6.622797707493102,0.9905894006934125,2.950541286351093
53,Dinan 6,14-day grazing,2015,6216,49.98391248391248,0.0,7.368082368082368
54,Dinan 7,14-day grazing,2015,7931,40.209305257848946,0.0,16.567898121296178
55,Dinan 8,14-day grazing,2015,30121,41.47604661199827,0.003319942896982172,16.5366355698682
56,Dinan 9,14-day grazing,2015,20579,49.57480927158754,1.1322221682297489,6.77389571893678
57,Dinan 10,14-day grazing,2015,11232,25.90811965811966,0.08903133903133903,14.467592592592593
58,Dinan 13,14-day grazing,2015,14473,23.996407102881225,29.10246666206039,7.614178124784081
59,Dinan 12,14-day grazing,2015,24911,25.835976074826384,1.6177592228332864,7.87603869776404
60,Dinan 14,14-day grazing,2015,5965,59.74853310980721,0.0,1.0729253981559095
61,Dinan 11,14-day grazing,2015,10130,23.32675222112537,0.0,9.802566633761106
62,Dinan 1,14-day grazing,2015,13121,30.607423214694002,1.1432055483575947,5.8303482966237326
63,Dinan 4,14-day grazing,2015,9735,23.020030816640986,0.0,21.97226502311248
64,Dinan 5,14-day grazing,2015,7249,18.2645882190647,0.0,6.980273141122914
1,Bala 26ca,No grazing,2016,22947,20.30766549004227,2.213797010502462,0.017431472523641432
2,Bala 27ca,No grazing,2016,16608,43.26830443159923,4.3111753371868975,0.012042389210019268
3,Bala 28ca,No grazing,2016,17431,14.026733979691356,4.836211347599105,0.02868452756583099
4,Bala 29ca,No grazing,2016,26953,35.632397135754836,6.759915408303343,4.329759210477498
5,Bala 1,14-day grazing,2016,10166,53.41333857957898,0.08853039543576628,0.0
6,Bala 2,14-day grazing,2016,19760,73.8917004048583,0.2732793522267206,0.0
7,Bala 3,14-day grazing,2016,14748,53.61404936262544,0.02034174125305126,0.20341741253051263
8,Bala 4,14-day grazing,2016,3878,24.832387828777723,0.0,0.0
9,Bala 5,14-day grazing,2016,16940,54.391971664698936,4.321133412042503,0.0059031877213695395
10,Bala 6,14-day grazing,2016,22526,58.0706738879517,0.2885554470389772,0.0
11,Bala 9,14-day grazing,2016,2843,44.60077383046078,0.0,0.0
12,Bala 12,14-day grazing,2016,13916,18.76976142569704,1.566542109801667,0.17964932451853982
13,Bala 13,14-day grazing,2016,8869,35.04340962904499,1.0598714623971135,0.0
14,Bala 15,14-day grazing,2016,5898,48.134961003730076,3.747032892505934,0.20345879959308238
15,Bala 17,14-day grazing,2016,8315,34.467829224293446,1.8400481058328322,0.0
16,Bala 18,14-day grazing,2016,8406,3.390435403283369,0.9279086366880799,0.0
17,Bala 19,14-day grazing,2016,9268,31.18256365990505,0.02157962883038412,0.0
18,Bala 20,14-day grazing,2016,8782,4.179002505124117,0.06832156684126622,0.011386927806877705
19,Bala 21,14-day grazing,2016,7124,27.849522740033688,0.7720381807973049,0.0
20,Bala 22,14-day grazing,2016,3657,1.8321028165162703,1.8321028165162703,0.0
21,Bala 23,14-day grazing,2016,16923,28.990131773326244,0.5259114814158247,0.0
22,Bala 24,14-day grazing,2016,3945,29.404309252218,0.0,0.0
23,Bala 25,14-day grazing,2016,6332,39.52937460518004,0.0,0.0
24,Bala 7/10,14-day grazing,2016,2780,19.928057553956833,0.3597122302158274,0.07194244604316546
25,Bala 8/11,14-day grazing,2016,17293,53.056149887237616,7.049095009541433,0.15613253917770195
26,Bala 14/16,14-day grazing,2016,6667,4.39478026098695,4.259787010649467,0.0
27,Mara 1,14-day grazing,2016,3840,11.041666666666666,0.18229166666666666,0.0
28,Mara 2,14-day grazing,2016,5791,8.806769124503539,2.2448627180107064,0.24175444655499917
29,Mara 3,14-day grazing,2016,4567,69.14823735493759,0.02189621195533173,0.08758484782132692
30,Mara 10,14-day grazing,2016,6203,23.778816701596,0.016121231662098983,0.032242463324197966
31,Mara 13,14-day grazing,2016,2792,21.56160458452722,5.014326647564469,0.0
32,Mara 12,14-day grazing,2016,5206,28.428736073761048,0.6915097963887822,0.0
33,Mara 14,14-day grazing,2016,11179,38.30396278736917,0.12523481527864747,0.0
34,Mara 5,14-day grazing,2016,3532,56.59682899207248,11.211778029445075,0.0
35,Mara 9,14-day grazing,2016,3435,51.93595342066958,1.5429403202328968,0.26200873362445415
36,Mara 6,14-day grazing,2016,7668,61.12415232133542,3.4298382889932184,0.013041210224308816
37,Mara 7,14-day grazing,2016,10357,68.35956358018731,4.122815487110167,0.43448875156898714
38,Mara 8,14-day grazing,2016,2623,56.728936332443766,0.3812428516965307,0.2668699961875715
39,Mara 11,14-day grazing,2016,10552,41.783548142532226,2.9283548142532223,0.05686125852918878
40,Mara 15,14-day grazing,2016,11525,64.88503253796095,6.169197396963123,0.0
41,Mara 16,14-day grazing,2016,8095,11.8591723285979,1.8653489808523782,0.0
42,Mara 17,14-day grazing,2016,3242,51.2646514497224,0.0,0.0
43,Mara 18,14-day grazing,2016,2487,48.813831926015276,0.04020908725371934,0.0
44,Mara 19,14-day grazing,2016,3335,29.32533733133433,0.0,0.0
45,Mara 21,14-day grazing,2016,9472,38.08065878378378,0.021114864864864864,0.010557432432432432
46,Mara 20,14-day grazing,2016,1667,74.0251949610078,0.0,0.0
47,Mara 22,14-day grazing,2016,4441,62.193199729790585,0.47286647151542444,0.0
48,Mara 4,14-day grazing,2016,2355,10.488322717622081,0.8067940552016986,0.6369426751592357
49,Mara 5a,14-day grazing,2016,2057,22.75157997083131,11.327175498298493,0.0
50,Mara 22a,14-day grazing,2016,1103,9.15684496826836,1.7225747960108795,0.0
51,Dinan 3,14-day grazing,2016,8661,45.02944232767579,0.0,2.4823923334487934
52,Dinan 2,14-day grazing,2016,14133,24.8850208731338,20.936814547512913,0.18396660298591946
53,Dinan 6,14-day grazing,2016,6216,41.37709137709138,0.4826254826254826,0.032175032175032175
54,Dinan 7,14-day grazing,2016,7931,78.09860042869752,0.025217500945656286,4.0221914008321775
55,Dinan 8,14-day grazing,2016,30121,60.08764649248033,0.03651937186680389,4.037050562730321
56,Dinan 9,14-day grazing,2016,20579,75.66451236697604,1.875698527625249,0.5442441323679479
57,Dinan 10,14-day grazing,2016,11232,46.50997150997151,0.03561253561253561,4.504985754985754
58,Dinan 13,14-day grazing,2016,14473,30.69163269536378,35.74932633179023,2.211013611552546
59,Dinan 12,14-day grazing,2016,24911,55.02388503070933,2.1596884910280596,0.6744008670868291
60,Dinan 14,14-day grazing,2016,5965,56.362112321877625,0.0,0.28499580888516346
61,Dinan 11,14-day grazing,2016,10130,33.73149062191511,8.114511352418559,0.7206317867719645
62,Dinan 1,14-day grazing,2016,13121,45.53768767624419,9.55719838426949,0.6554378477250209
63,Dinan 4,14-day grazing,2016,9735,63.63636363636363,3.1124807395993837,1.7565485362095532
64,Dinan 5,14-day grazing,2016,7249,36.51538143192165,0.8690853910884261,0.6069802731411229
1,Bala 26ca,No grazing,2017,22947,9.016429162853532,3.3729899333246176,0.0
2,Bala 27ca,No grazing,2017,16608,5.388969171483622,0.15052986512524086,0.0
3,Bala 28ca,No grazing,2017,17431,1.5776490161207044,3.3503528196890597,0.0
4,Bala 29ca,No grazing,2017,26953,21.12195302934738,7.08269951396876,3.535784513783252
5,Bala 1,14-day grazing,2017,10166,1.3673027739523902,0.00983671060397403,0.0
6,Bala 2,14-day grazing,2017,19760,9.777327935222672,0.0,0.0
7,Bala 3,14-day grazing,2017,14748,5.017629509085978,0.0,0.013561160835367509
8,Bala 4,14-day grazing,2017,3878,1.7276946879834967,0.0,0.0
9,Bala 5,14-day grazing,2017,16940,16.587957497048407,0.05903187721369539,0.0
10,Bala 6,14-day grazing,2017,22526,6.756636775281896,0.004439314569830419,0.0
11,Bala 9,14-day grazing,2017,2843,16.4966584593739,0.0,0.0
12,Bala 12,14-day grazing,2017,13916,1.0778959471112388,0.21557918942224774,0.057487783845932734
13,Bala 13,14-day grazing,2017,8869,1.3304769421580787,0.07892659826361484,0.0
14,Bala 15,14-day grazing,2017,5898,3.560528992878942,0.169548999660902,0.169548999660902
15,Bala 17,14-day grazing,2017,8315,11.028262176788935,0.0,0.0
16,Bala 18,14-day grazing,2017,8406,1.3442778967404236,0.29740661432310256,0.0
17,Bala 19,14-day grazing,2017,9268,9.958998705222271,0.0,0.0
18,Bala 20,14-day grazing,2017,8782,7.754497836483716,0.07970849464814393,0.0
19,Bala 21,14-day grazing,2017,7124,0.5895564289724873,0.8702975856260527,0.0
20,Bala 22,14-day grazing,2017,3657,0.0,2.898550724637681,0.0
21,Bala 23,14-day grazing,2017,16923,3.2381965372569876,0.01772735330615139,0.0
22,Bala 24,14-day grazing,2017,3945,4.359949302915083,0.0,0.0
23,Bala 25,14-day grazing,2017,6332,2.605811749842072,0.0,0.0
24,Bala 7/10,14-day grazing,2017,2780,1.079136690647482,0.0,0.14388489208633093
25,Bala 8/11,14-day grazing,2017,17293,2.081767189036026,0.0,0.06939223963453421
26,Bala 14/16,14-day grazing,2017,6667,0.43497825108744564,4.379781010949452,0.0
27,Mara 1,14-day grazing,2017,3840,1.9270833333333335,0.0,0.0
28,Mara 2,14-day grazing,2017,5791,1.0878950094974962,1.4332585045760662,0.0
29,Mara 3,14-day grazing,2017,4567,0.06568863586599519,0.30654696737464415,0.0
30,Mara 10,14-day grazing,2017,6203,1.5637594712236014,0.0,0.0
31,Mara 13,14-day grazing,2017,2792,0.7163323782234957,0.0,0.0
32,Mara 12,14-day grazing,2017,5206,0.0768344218209758,0.768344218209758,0.0
33,Mara 14,14-day grazing,2017,11179,0.22363359871187047,0.01789068789694964,0.0
34,Mara 5,14-day grazing,2017,3532,0.0,0.19818799546998866,0.0
35,Mara 9,14-day grazing,2017,3435,1.455604075691412,0.1455604075691412,0.0
36,Mara 6,14-day grazing,2017,7668,0.37819509650495564,0.06520605112154408,0.0
37,Mara 7,14-day grazing,2017,10357,4.113160181519745,0.04827652795210968,0.009655305590421936
38,Mara 8,14-day grazing,2017,2623,27.48760960731986,0.0,0.0
39,Mara 11,14-day grazing,2017,10552,18.99166034874905,0.0,0.0758150113722517
40,Mara 15,14-day grazing,2017,11525,4.546637744034707,0.0,0.0
41,Mara 16,14-day grazing,2017,8095,0.16059295861642991,0.840024706609018,0.0
42,Mara 17,14-day grazing,2017,3242,0.15422578655151142,0.0,0.0
43,Mara 18,14-day grazing,2017,2487,23.080016083634902,0.0,0.0
44,Mara 19,14-day grazing,2017,3335,4.0479760119940025,0.5397301349325337,0.0
45,Mara 21,14-day grazing,2017,9472,4.655827702702703,0.33783783783783783,0.0
46,Mara 20,14-day grazing,2017,1667,42.53149370125975,0.0,0.0
47,Mara 22,14-day grazing,2017,4441,3.963071380319748,0.0,0.0
48,Mara 4,14-day grazing,2017,2355,0.6794055201698515,0.0,0.0
49,Mara 5a,14-day grazing,2017,2057,1.166747690811862,0.48614487117160915,0.0
50,Mara 22a,14-day grazing,2017,1103,0.9066183136899365,1.4505893019038985,0.0
51,Dinan 3,14-day grazing,2017,8661,7.170072739868376,0.0,0.8313127814340145
52,Dinan 2,14-day grazing,2017,14133,0.5802023632632846,0.969362484964268,0.12736149437486732
53,Dinan 6,14-day grazing,2017,6216,2.171814671814672,0.0,0.0
54,Dinan 7,14-day grazing,2017,7931,42.17627033161014,0.012608750472828143,0.088261253309797
55,Dinan 8,14-day grazing,2017,30121,39.4409216161482,0.9760632117127586,1.155340128149796
56,Dinan 9,14-day grazing,2017,20579,42.39758977598523,1.3557510083094417,0.4276203897176733
57,Dinan 10,14-day grazing,2017,11232,12.82051282051282,0.0,3.623575498575499
58,Dinan 13,14-day grazing,2017,14473,12.699509431354935,33.93214951979548,1.2091480688177987
59,Dinan 12,14-day grazing,2017,24911,16.085263538195978,16.474649753121113,0.03211432700413472
60,Dinan 14,14-day grazing,2017,5965,7.879295892707461,0.0,0.43587594300083826
61,Dinan 11,14-day grazing,2017,10130,22.57650542941757,18.094768015794667,0.2764067127344521
62,Dinan 1,14-day grazing,2017,13121,11.874094962274217,1.089855956100907,0.7468942915936285
63,Dinan 4,14-day grazing,2017,9735,25.608628659476118,0.0,0.7806882383153569
64,Dinan 5,14-day grazing,2017,7249,10.539384742723135,0.0,0.0
1,Bala 26ca,No grazing,2023,22947,3.355558460800976,2.1222817797533446,0.0
